a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
casp2	casp1	19	158	500	33810017	{20462856, 10526349, 25330190, 16101141, 24722332, 10526373, 10526374, 19383853, 9485490, 9485491, 9485494, 31611962, 9485500, 21109956, 28068192, 16888677, 11835494, 26124008, 21773946}	1.8933082442287087e-68	0.0014838299248367548	0.038
rxfp2	rxfp3	17	191	159	33810017	{17293890, 19416194, 18434306, 16507880, 25761609, 23303914, 25079565, 18675759, 15956688, 20138959, 25704248, 25384467, 21235507, 30263124, 19416150, 23401142, 19416152}	8.966067766045694e-68	0.0013276669196784496	0.1069182389937107
dhps	eif5a	22	1175	432	33810017	{34345355, 30661771, 34947982, 34688659, 29295892, 31796630, 35151773, 20112425, 34273022, 25261239, 33326776, 21850436, 32208453, 27612998, 32142284, 30257869, 33303756, 34496231, 33811703, 27357307, 25315710, 34155263}	3.190220422362278e-62	0.001827293075621128	0.05092592592592592
ttbk2	ttbk1	12	65	42	33810017	{32424773, 25473830, 33228809, 32133995, 19938639, 25673844, 29409526, 20158871, 30342424, 28711868, 31034749, 24808823}	9.561464497847587e-60	0.0014960139524191618	0.2857142857142857
pias3	socs3	22	255	2703	33810017	{32571912, 19350281, 28035977, 18550668, 23596301, 12887825, 32398867, 28972958, 25108518, 26432044, 28027695, 31694516, 17318196, 28035384, 27932984, 18999875, 16098628, 23495757, 24301930, 17726064, 25817464, 26353790}	2.017800189998849e-59	0.001962008886039257	0.008139104698483167
fgf7	fgf8	21	473	1442	33810017	{23112089, 24362909, 16932896, 18058912, 26332583, 17360555, 11536048, 16470835, 8901049, 10373311, 26542145, 16211270, 12221006, 26137434, 20680027, 26266341, 7749227, 21613421, 21222001, 27148532, 29655165}	2.660558550134379e-56	0.0018229619599878788	0.014563106796116505
gstt2	gstm2	13	91	164	33810017	{16128001, 17381985, 19383551, 20044584, 12871945, 21189867, 24486155, 30445774, 15746163, 14634838, 22446518, 31830553, 18664505}	9.680880764415102e-55	0.0012966101057827473	0.07926829268292683
six3	prox1	17	413	798	33810017	{11069920, 12851489, 12676323, 11139622, 15558471, 17905638, 25517354, 26992779, 27133484, 15558475, 12128206, 12561327, 18385072, 16118513, 11554737, 15559128, 25963709}	1.0892395272208562e-49	0.0014241482131183147	0.021303258145363407
vangl2	ptk7	14	335	228	33810017	{15229603, 17671748, 32388773, 24703875, 23024041, 22095531, 16273260, 22771245, 26368655, 23140627, 29573971, 28935705, 20540155, 20643356}	5.2167044186111835e-49	0.0016490169800817966	0.06140350877192982
sept7	sept4	11	107	75	33810017	{18951558, 27504968, 22575789, 15915442, 33572403, 12695511, 23087102, 25301271, 20978712, 28265560, 25588830}	9.178512114579748e-49	0.0013454060535877943	0.14666666666666667
cd96	cd34	26	158	35373	33810017	{9845376, 29720577, 22040961, 31307525, 26642704, 24257300, 28391288, 26910244, 23233446, 23086639, 23965875, 26010294, 26171191, 28447034, 33416891, 33085758, 28986815, 20662087, 33363022, 31123028, 29397845, 17576927, 22173921, 24751333, 21729528, 31775482}	1.1543744060316976e-48	0.023627183865755796	0.000735023888276369
gpr174	gpr34	9	32	54	33810017	{29017923, 25320102, 20880198, 24891334, 34166709, 29700886, 25970039, 34233115, 27077565}	9.375629362877733e-46	0.0013531339354813099	0.16666666666666666
klk6	klk3	13	230	315	33810017	{25563717, 22436421, 23590280, 22047144, 17573418, 23494059, 21439340, 22505517, 29707153, 22874102, 18627289, 18627291, 16829021}	1.773501635558143e-45	0.001402675174176693	0.04126984126984127
